Study;cases;sample;prevalence;SE;subgroup
Freitas et al. 2017;34;812;0.041871921;0.0070;TabelaS2
Lima et al. 2012;13;1076;0.012081784;0.0033;TabelaS2
Matos et al. 2014;138;1782;0.077441077;0.0063;TabelaS2
Silva-Grecco et al. 2010;255;998;0.255511022;0.0138;TabelaS2
Brito et al. 2012;31;335;0.092537313;0.0158;TabelaS2
Brito et al. 2012;49;478;0.10251046;0.0139;TabelaS2
Brito et al. 2012;0;36;0;0.0000;TabelaS2
Brito et al. 2012;0;94;0;0.0000;TabelaS2
Brito et al. 2012;9;112;0.080357143;0.0257;TabelaS2
Brito et al. 2012;3;34;0.088235294;0.0486;TabelaS2
Brito et al. 2012;0;84;0;0.0000;TabelaS2
Brito et al. 2012;10;268;0.037313433;0.0116;TabelaS2
Brito et al. 2012;0;48;0;0.0000;TabelaS2
Brito et al. 2012;3;61;0.049180328;0.0277;TabelaS2
Brito et al. 2012;4;163;0.024539877;0.0121;TabelaS2
Brito et al. 2012;0;19;0;0.0000;TabelaS2
Brito et al. 2012;0;46;0;0.0000;TabelaS2
Brito et al. 2012;17;163;0.104294479;0.0239;TabelaS2
Brito et al. 2012;0;9;0;0.0000;TabelaS2
Brito et al. 2012;13;390;0.033333333;0.0091;TabelaS2
Coutinho et al. 2014;8;642;0.012461059;0.0044;TabelaS2
Carvalho et al. 2011;4;344;0.011627907;0.0058;TabelaS2
Sarquis et al. 2012;0;175;0;0.0000;TabelaS2
Silva et al. 2010;14;676;0.020710059;0.0055;TabelaS2
Fidalgo et al. 2021;13;348;0.037356322;0.0102;TabelaS2
Freitas et al. 2015;4;154;0.025974026;0.0128;TabelaS2
Glass et al. 2018;75;617;0.121555916;0.0132;TabelaS2
Santos et al. 2020;55;683;0.080527086;0.0104;TabelaS2
Martins et al. 2018;1;175;0.005714286;0.0057;TabelaS2
Lima et al. 2015;4;581;0.006884682;0.0034;TabelaS2
Santos et al. 2022;0;126;0;0.0000;TabelaS2
Santana et al. 2021;40;763;0.05242464;0.0081;TabelaS2
Cruz et al. 2021;188;2038;0.092247301;0.0064;TabelaS2
Freitas et al. 2017;25;812;0.030788177;0.0061;TabelaS3
Matos et al. 2014;87;1782;0.048821549;0.0051;TabelaS3
Coutinho et al. 2014;5;642;0.007788162;0.0035;TabelaS3
Silva et al. 2010;10;676;0.014792899;0.0046;TabelaS3
Fidalgo et al. 2021;4;348;0.011494253;0.0057;TabelaS3
Freitas et al. 2015;3;154;0.019480519;0.0111;TabelaS3
Glass et al. 2018;49;617;0.079416532;0.0109;TabelaS3
Santos et al. 2020;30;683;0.043923865;0.0078;TabelaS3
Martins et al. 2018;1;175;0.005714286;0.0057;TabelaS3
Lima et al. 2015;2;581;0.003442341;0.0024;TabelaS3
Santos et al. 2022;0;126;0;0.0000;TabelaS3
Santana et al. 2021;17;763;0.022280472;0.0053;TabelaS3
Cruz et al. 2021;109;2038;0.053483808;0.0050;TabelaS3
Freitas et al. 2017;2;812;0.002463054;0.0017;TabelaS4
Matos et al. 2014;5;1782;0.002805836;0.0013;TabelaS4
Coutinho et al. 2014;2;642;0.003115265;0.0022;TabelaS4
Silva et al. 2010;0;676;0;0.0000;TabelaS4
Freitas et al. 2015;0;154;0;0.0000;TabelaS4
Santos et al. 2020;25;683;0.036603221;0.0072;TabelaS4
Martins et al. 2018;1;175;0.005714286;0.0057;TabelaS4
Lima et al. 2015;1;581;0.00172117;0.0017;TabelaS4
Santos et al. 2022;0;126;0;0.0000;TabelaS4
Nobre et al. 2021;188;98895;0.001901006;0.0001;TabelaS5
Belo et al. 2016;66;54813;0.001204094;0.0001;TabelaS5
Santos et al. 2018;1;3749;0.000266738;0.0003;TabelaS5
Nobre et al. 2021;1;40;0.025;0.0247;TabelaS6
Luquetti et al. 2015;16;389;0.041131105;0.0101;TabelaS6
Luquetti et al. 2015;4;210;0.019047619;0.0094;TabelaS6
Luquetti et al. 2015;1;31;0.032258065;0.0317;TabelaS6
Luquetti et al. 2015;1;14;0.071428571;0.0688;TabelaS6
Ostermayer et al. 2011;1;122;0.008196721;0.0082;TabelaS6
Ostermayer et al. 2011;1;117;0.008547009;0.0085;TabelaS6
Ostermayer et al. 2011;1;91;0.010989011;0.0109;TabelaS6
Ostermayer et al. 2011;1;99;0.01010101;0.0100;TabelaS6
Ostermayer et al. 2011;1;33;0.03030303;0.0298;TabelaS6
Ostermayer et al. 2011;1;33;0.03030303;0.0298;TabelaS6
Ostermayer et al. 2011;1;33;0.03030303;0.0298;TabelaS6
Ostermayer et al. 2011;1;21;0.047619048;0.0465;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;2;24;0.083333333;0.0564;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Ostermayer et al. 2011;3;24;0.125;0.0675;TabelaS6
Ostermayer et al. 2011;1;24;0.041666667;0.0408;TabelaS6
Belo et al. 2016;0;29;0;0.0000;TabelaS6
Santos et al. 2018;0;3749;0;0.0000;TabelaS6
